pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
156.5,-57.0,90.0,top,J2,,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0_14P,smt
107.0,-40.04,90.0,top,MOLEX1,,,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,E-C SENSOR,tht
107.0,-49.29,90.0,top,MOLEX2,,,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,PH ,tht
107.21,-58.54,90.0,top,MOLEX3,,,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,TDS SENSOR,tht
107.25,-68.29,90.0,top,MOLEX4,,,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,TEMP,tht
107.25,-79.79,90.0,top,MOLEX5,,,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,LORAWAN,tht
147.75,-50.5,90.0,top,R1_5.6k1,ERJ-P06J471V,,R_0805_2012Metric,470R_0805_350mW,smt
147.75,-54.5,90.0,top,R2_5.6k1,ERJ-P06J471V,,R_0805_2012Metric,470R_0805_350mW,smt
114.75,-70.0625,90.0,top,R3_10k1,ERJ-P06J471V,,R_0805_2012Metric,470R_0805_350mW,smt
114.5,-56.5,90.0,top,R4_10k1,ERJ-P06J471V,,R_0805_2012Metric,470R_0805_350mW,smt
121.00368,-32.74272,0.0,top,U2,,,ESP32-S3-DevKitC,ESP32-S3-DevKitC,tht
